Month,Hour,Average_RRP,SD_RRP
10,13,-23.95,32.47
10,14,-5.49,48.82
10,15,17.13,52.4
10,16,55.22,50.77
10,17,188.3,676.65
10,18,193.63,370.89
10,19,123.31,56.59
10,20,104.0,51.34
10,21,90.49,45.35
10,22,106.19,62.29
10,23,93.23,52.49
11,0,114.86,57.83
11,1,101.03,45.29
11,2,98.18,47.76
11,3,100.52,78.47
11,4,106.67,57.82
11,5,110.18,91.96
11,6,61.14,164.28
11,7,48.68,66.19
11,8,36.55,65.94
11,9,24.06,67.11
11,10,13.31,52.42
11,11,14.55,53.46
11,12,17.81,53.97
11,13,31.83,60.51
11,14,50.5,73.51
11,15,80.04,381.49
11,16,152.94,671.25
11,17,486.75,1779.55
11,18,561.1,2185.45
11,19,257.61,1110.25
11,20,143.83,64.95
11,21,133.56,68.4
11,22,133.21,64.71
11,23,126.51,65.15
12,0,117.8,55.83
12,1,115.38,56.7
12,2,104.74,54.44
12,3,102.0,51.72
12,4,106.39,52.22
12,5,99.87,58.16
12,6,43.74,49.63
12,7,38.89,57.73
12,8,31.96,62.99
12,9,21.26,63.02
12,10,17.31,58.53
12,11,19.52,62.58
12,12,22.63,67.77
12,13,42.46,76.22
12,14,69.43,178.38
12,15,82.62,89.0
12,16,108.96,94.92
12,17,237.31,934.73
12,18,521.94,1841.67
12,19,245.34,682.66
12,20,162.76,74.22
12,21,138.45,59.74
12,22,144.83,66.86
12,23,133.67,63.06
